Literal value,Placeholder PID
height of https://rdf.ng-london.org.uk/raphael/resource/P16e3,MFWR-1AZ0-N7O7-TYMM
https://rdf.ng-london.org.uk/raphael/resource/PE39,JZ96-K2XC-0486-17C0
width of https://rdf.ng-london.org.uk/raphael/resource/PE39,TJII-8YRR-CBWL-3HPO
height of https://rdf.ng-london.org.uk/raphael/resource/PE39,5P8Y-7W0W-67Z9-AQ6H
acquisition of https://rdf.ng-london.org.uk/raphael/resource/PE39,Z272-EDR1-9IDE-6VPS
production of https://rdf.ng-london.org.uk/raphael/resource/PE39,S0NB-05WC-LBKS-AEJL
short title of https://rdf.ng-london.org.uk/raphael/resource/PE39,BKF0-RU19-XBUX-9S8B
support material of https://rdf.ng-london.org.uk/raphael/resource/PE39,HS2E-TZ2F-ZM7U-1T8F
medium of https://rdf.ng-london.org.uk/raphael/resource/PE39,B3GW-QP55-ELX2-RHGQ
title of https://rdf.ng-london.org.uk/raphael/resource/PE39,FHCE-REW8-E7Y5-O6Q1
